name,url
Area Makanan,https://storage.googleapis.com/provinces_url/facilities_url/Area%20Makan.png
Area Parkir,https://storage.googleapis.com/provinces_url/facilities_url/Area%20Parkir.png
Pusat Informasi,https://storage.googleapis.com/provinces_url/facilities_url/Pusat%20Informasi.png
Rumah Difabel,https://storage.googleapis.com/provinces_url/facilities_url/Ramah%20Difabel.png
Tempat Ibadah,https://storage.googleapis.com/provinces_url/facilities_url/Tempat%20Ibadah.png
Penginapan,https://storage.googleapis.com/provinces_url/facilities_url/Penginapan.png
Tempat Sampah,https://storage.googleapis.com/provinces_url/facilities_url/Tempat%20Sampah.png
Toilet,https://storage.googleapis.com/provinces_url/facilities_url/Toilet.png
Toko Oleh-oleh,https://storage.googleapis.com/provinces_url/facilities_url/Toko%20Oleh-Oleh.png
Wahana Permainan,https://storage.googleapis.com/provinces_url/facilities_url/Wahana%20Permainan.png